Protocol,Benchmark,Algorithm,Instance,Seed,Iteration_Limit,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Feasible,Batch_Workers,Source_Record
Fixed iteration,Chao,Ejection OFF,p4.2.j,2,2500,2500,892.0,965.0,7.564766839378239,138.6958080867472,,7.262793399999282,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.j,3,2500,2500,916.0,965.0,5.077720207253886,139.70590375747952,,6.836645899999894,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.k,0,2500,2500,953.0,1022.0,6.75146771037182,148.95799156719937,,8.8508068000001,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.k,1,2500,2500,965.0,1022.0,5.577299412915851,149.68551109359953,,7.261419999999816,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.k,2,2500,2500,972.0,1022.0,4.892367906066537,149.43650717293957,,7.0249927999993815,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.k,3,2500,2500,945.0,1022.0,7.534246575342466,149.33944144913704,,6.733842500000719,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.l,0,2500,2500,1034.0,1074.0,3.7243947858473,158.5920756128878,,7.152461399999993,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.l,1,2500,2500,1041.0,1074.0,3.0726256983240225,159.5387737733766,,6.6348595999998,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.l,2,2500,2500,1035.0,1074.0,3.631284916201117,159.66786700214664,,7.7784789999996065,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.l,3,2500,2500,1034.0,1074.0,3.7243947858473,158.88063559327833,,7.510753100000329,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.m,0,2500,2500,1078.0,1132.0,4.770318021201414,169.2536337874349,,7.498692899999696,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.m,1,2500,2500,1095.0,1132.0,3.2685512367491167,169.62951196770666,,7.079771499999879,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.m,2,2500,2500,1029.0,1132.0,9.098939929328623,169.75207695647674,,9.464753399999609,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.m,3,2500,2500,1082.0,1132.0,4.41696113074205,169.6422450456983,,7.311445599999388,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.n,0,2500,2500,1128.0,1174.0,3.918228279386712,179.41552011455735,,8.571034300000065,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.2.n,1,2500,2500,1116.0,1174.0,4.940374787052811,178.93086400928908,,9.95119270000032,True,2,02_fixed_2500_ejection_on_off/runs.csv
