Protocol,Benchmark,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Batch_Workers,Source_Record
Symmetric wall clock,Chao,Ejection OFF,p4.2.l,3,2500,12.181557350000048,12.181557350000048,4414,1048.0,1074.0,2.4208566108007448,159.88611429341012,63,11.744222100000115,0.4373352499999328,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.m,0,2500,12.442858424999711,12.442858424999711,3673,1071.0,1132.0,5.3886925795053005,169.29853725043904,74,12.195377300000471,0.2474811249992399,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.m,1,2500,12.442858424999711,12.442858424999711,4142,1091.0,1132.0,3.621908127208481,169.8357550655458,70,12.19391060000089,0.2489478249988224,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.m,2,2500,12.442858424999711,12.442858424999711,3592,1056.0,1132.0,6.713780918727915,168.9478755386201,73,11.842905999999855,0.5999524249998558,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.m,3,2500,12.442858424999711,12.442858424999711,4544,1109.0,1132.0,2.0318021201413425,169.69365911062272,70,12.155796200000625,0.2870622249990902,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.n,0,2500,11.478437850000546,11.478437850000546,3239,1122.0,1174.0,4.429301533219761,179.3349387782426,72,11.044276000000536,0.4341618500000095,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.n,1,2500,11.478437850000546,11.478437850000546,3400,1131.0,1174.0,3.6626916524701874,179.411577169557,73,10.60293029999957,0.8755075500009752,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.n,2,2500,11.478437850000546,11.478437850000546,3113,1123.0,1174.0,4.34412265758092,179.933668413235,69,10.805480300001364,0.6729575499991824,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.n,3,2500,11.478437850000546,11.478437850000546,3765,1139.0,1174.0,2.9812606473594547,179.4014321511741,72,11.229561100000865,0.2488767499996811,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
Symmetric wall clock,Chao,Ejection OFF,p4.2.o,0,2500,12.127632750000204,12.127632750000204,3927,1171.0,1218.0,3.858784893267652,189.02022429018467,79,11.52560369999992,0.602029050000283,True,True,time_limit_guard_at_iteration_boundary,True,2,04_symmetric_wall_clock_ejection_on_off/off/raw_runs.csv
