Size,Instance,Seed,Configuration,Ejection_Enabled,K,L,Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Runtime_Seconds,Feasible,History_Valid,Source_Record
medium,pr299_gen2_m3,1,k20_l1,True,20,1,5000,5875.0,6018.0,2.376204719175806,24028.834917557666,240.49785729999985,True,True,sensitivity_csv:66
medium,pr299_gen2_m3,0,k6_l1,True,6,1,5000,5871.0,6018.0,2.4426719840478563,24017.1909470761,138.67337159999988,True,True,sensitivity_csv:67
medium,pr299_gen2_m3,1,k6_l1,True,6,1,5000,5933.0,6018.0,1.4124293785310735,24030.724679012405,144.6250434000001,True,True,sensitivity_csv:68
medium,pr299_gen2_m3,0,off,False,0,1,5000,5933.0,6018.0,1.4124293785310735,24030.724679012405,79.73886590000006,True,True,sensitivity_csv:69
medium,pr299_gen2_m3,1,off,False,0,1,5000,5732.0,6018.0,4.752409438351612,24009.560625938655,83.28497799999991,True,True,sensitivity_csv:70
medium,pr299_gen3_m3,0,k100_l1,True,100,1,5000,3489.0,3655.0,4.54172366621067,24066.19695847612,302.4486296,True,True,sensitivity_csv:71
medium,pr299_gen3_m3,1,k100_l1,True,100,1,5000,3471.0,3655.0,5.034199726402189,24063.39209029555,376.6528865,True,True,sensitivity_csv:72
medium,pr299_gen3_m3,0,k100_l3,True,100,3,5000,3378.0,3655.0,7.578659370725034,24032.4085278646,614.4797261000003,True,True,sensitivity_csv:73
medium,pr299_gen3_m3,1,k100_l3,True,100,3,5000,3399.0,3655.0,7.004103967168263,24051.527742321967,452.37863389999984,True,True,sensitivity_csv:74
medium,pr299_gen3_m3,0,k100_l5,True,100,5,5000,3548.0,3655.0,2.9274965800273596,24049.565257630144,503.14709249999987,True,True,sensitivity_csv:75
medium,pr299_gen3_m3,1,k100_l5,True,100,5,5000,3429.0,3655.0,6.183310533515732,24053.280257017173,415.9823738,True,True,sensitivity_csv:76
medium,pr299_gen3_m3,0,k100_linf,True,100,,5000,3544.0,3655.0,3.036935704514364,24081.019725993196,495.7924874999999,True,True,sensitivity_csv:77
medium,pr299_gen3_m3,1,k100_linf,True,100,,5000,3309.0,3655.0,9.466484268125855,24062.08768705918,482.7456351000001,True,True,sensitivity_csv:78
medium,pr299_gen3_m3,0,k20_l1,True,20,1,5000,3503.0,3655.0,4.158686730506156,24065.881044342284,201.50034499999992,True,True,sensitivity_csv:79
medium,pr299_gen3_m3,1,k20_l1,True,20,1,5000,3378.0,3655.0,7.578659370725034,24032.4085278646,311.2328217999998,True,True,sensitivity_csv:80
medium,pr299_gen3_m3,0,k6_l1,True,6,1,5000,3365.0,3655.0,7.934336525307797,24071.30779291923,124.67030539999996,True,True,sensitivity_csv:81
medium,pr299_gen3_m3,1,k6_l1,True,6,1,5000,3358.0,3655.0,8.125854993160054,24000.780089580687,201.47650590000012,True,True,sensitivity_csv:82
medium,pr299_gen3_m3,0,off,False,0,1,5000,3312.0,3655.0,9.384404924760602,23883.713733872122,161.31448600000022,True,True,sensitivity_csv:83
medium,pr299_gen3_m3,1,off,False,0,1,5000,3365.0,3655.0,7.934336525307797,24049.34836346289,166.59728140000016,True,True,sensitivity_csv:84
