Protocol,Algorithm,Instance,Seed,Reference_Iterations,Budget_Seconds,Effective_Time_Limit_Seconds,Completed_Iterations,Reward,BKS,BKS_Gap_Percent_Source,Total_Distance,Visited_Customers,Runtime_Seconds,Runtime_Slack_Seconds,Within_Budget,Timed_Out,Stop_Status,Feasible,Source_Record
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt101c_m3,1,2500,13.720634825000161,,2500,1290.0,1300.0,0.7692307692307693,374.4411391775405,,13.629731300000458,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:34
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt101c_m3,2,2500,13.720634825000161,,2500,1270.0,1300.0,2.3076923076923075,371.5101678759631,,14.173377199999777,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:35
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt101c_m3,3,2500,13.720634825000161,,2500,1280.0,1300.0,1.5384615384615385,373.09381572127904,,13.23328550000042,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:36
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151b_m3,0,2500,23.452230249999957,,2500,1375.0,1385.0,0.7220216606498195,348.8651427871017,,23.80561779999971,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:37
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151b_m3,1,2500,23.452230249999957,,2500,1382.0,1385.0,0.21660649819494585,348.96181239993643,,22.270090300000447,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:38
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151b_m3,2,2500,23.452230249999957,,2500,1370.0,1385.0,1.0830324909747293,348.2333685014396,,25.205119399999603,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:39
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151b_m3,3,2500,23.452230249999957,,2500,1381.0,1385.0,0.2888086642599278,347.69852987842677,,22.528093500000068,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:40
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m2,0,2500,35.23979887500013,,2500,1923.0,1964.0,2.0875763747454177,524.6912175483026,,35.8441870000006,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:41
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m2,1,2500,35.23979887500013,,2500,1940.0,1964.0,1.2219959266802445,523.9449203698045,,35.23927879999974,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:42
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m2,2,2500,35.23979887500013,,2500,1933.0,1964.0,1.5784114052953158,524.2939536608048,,34.34451759999956,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:43
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m2,3,2500,35.23979887500013,,2500,1909.0,1964.0,2.8004073319755602,524.3435144073261,,35.53121210000063,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:44
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m3,0,2500,29.997989475000168,,2500,1897.0,1916.0,0.9916492693110647,522.748372997792,,29.21036970000023,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:45
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m3,1,2500,29.997989475000168,,2500,1896.0,1916.0,1.0438413361169103,523.9915345385451,,30.480935400000817,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:46
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m3,2,2500,29.997989475000168,,2500,1902.0,1916.0,0.7306889352818372,523.6840972233983,,30.176961400000437,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:47
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m3,3,2500,29.997989475000168,,2500,1900.0,1916.0,0.8350730688935282,524.149193912026,,30.12369139999919,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:48
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m4,0,2500,25.793135625000104,,2500,1874.0,1880.0,0.3191489361702128,523.049219410601,,25.897172699999828,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:49
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m4,1,2500,25.793135625000104,,2500,1876.0,1880.0,0.2127659574468085,522.8139992597775,,24.938399000000572,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:50
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m4,2,2500,25.793135625000104,,2500,1858.0,1880.0,1.1702127659574468,522.3182957457698,,26.90890750000017,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:51
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt151c_m4,3,2500,25.793135625000104,,2500,1767.0,1880.0,6.01063829787234,523.1681611381998,,25.42806329999985,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:52
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m2,0,2500,61.60824172499974,,2500,2063.0,2096.0,1.5744274809160306,381.224640405008,,64.32199949999995,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:53
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m2,1,2500,61.60824172499974,,2500,2018.0,2096.0,3.7213740458015265,380.6311088144404,,66.92224769999939,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:54
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m2,2,2500,61.60824172499974,,2500,2039.0,2096.0,2.719465648854962,381.2903359171087,,59.54339559999971,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:55
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m2,3,2500,61.60824172499974,,2500,2036.0,2096.0,2.8625954198473282,381.1679685333454,,55.645324099999925,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:56
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m3,0,2500,43.168239249999715,,2500,1946.0,2019.0,3.615651312530956,380.44600158782566,,43.13284889999977,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:57
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m3,1,2500,43.168239249999715,,2500,1959.0,2019.0,2.971768202080238,381.6777542557919,,45.029535399999986,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:58
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m3,2,2500,43.168239249999715,,2500,1957.0,2019.0,3.070827142149579,381.35774626398745,,42.554598499999884,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:59
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m3,3,2500,43.168239249999715,,2500,1918.0,2019.0,5.0024764735017335,381.28196960843115,,41.95597419999922,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:60
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m4,0,2500,36.43267667500004,,2500,1878.0,1894.0,0.8447729672650475,380.90820316151076,,35.57871780000005,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:61
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m4,1,2500,36.43267667500004,,2500,1862.0,1894.0,1.689545934530095,379.4008951262061,,37.01170490000004,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:62
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m4,2,2500,36.43267667500004,,2500,1878.0,1894.0,0.8447729672650475,380.741372844569,,36.432248600000094,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:63
Runtime-budget comparison,Ejection ON fixed-iteration reference,cmt200b_m4,3,2500,36.43267667500004,,2500,1874.0,1894.0,1.0559662090813093,380.22814867254544,,36.70803539999997,,,,fixed_iteration_reference,True,runtime_reference_from_fixed:64
