Benchmark,size,instance,bks,config,role,ranking,positions,ejections,passes,attempts,seed,iterations,best_reward,gap_percent,total_distance,runtime_seconds,feasible,repair_calls,calls_with_blocked_customers,blocked_customers,attempted_blocked_customers,successful_commits,success_rate_per_attempted_customer,success_rate_per_repair_call,success_c0,success_c1,success_c2,success_c3,bounded_two_opt_trial_calls,successful_commits_using_bounded_two_opt,bounded_two_opt_share_of_successes,mean_net_reward_gain_per_success,net_reward_gain_sum,new_best_candidates_with_successful_repair,successful_commits_in_new_best_candidates,module_seconds,total_solve_seconds,module_runtime_share,Batch_Workers,Source_Record
Chao,medium,p5.4.t,1160.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,1105.0,4.741379310344827,97.6006335146412,4.271674899999198,True,2580,2580,34734,34734,1173,0.0337709448954914,0.4546511627906976,373,800,0,0,163808,173,0.1474850809889173,17.719522591645354,20785.0,3,5,1.887709299902781,4.271317899998394,0.4419500828780482,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.4.t,1160.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,1160.0,0.0,99.50044597825251,3.948092499998893,True,2536,2536,38276,38276,1874,0.0489601839272651,0.7389589905362776,281,1593,0,0,133456,91,0.0485592315901814,15.050693703308433,28205.0,5,8,1.6785790999565506,3.947728900002403,0.4252012087140859,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,1116.0,0.0,67.88225099390857,4.341953000002832,True,2513,2513,33786,33786,3204,0.094832179009057,1.2749701551929964,1173,2031,0,0,113055,255,0.0795880149812734,16.917602996254683,54204.0,8,21,1.837849700063089,4.341380900001241,0.42333297685595,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,1116.0,0.0,67.88225099390857,4.433596399998351,True,2517,2517,34577,34577,3258,0.0942244844839054,1.294398092967819,1172,2086,0,0,113510,284,0.0871700429711479,16.596685082872927,54072.0,10,34,1.8726810999796728,4.4331228000010015,0.4224293313010074,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,894.0,0.0,64.64116191305585,3.7646792999985337,True,2509,2509,34522,34522,1681,0.0486935866983372,0.6699880430450379,444,1237,0,0,130907,210,0.1249256395002974,15.944080904223677,26802.0,16,36,1.6421307999371493,3.76425780000136,0.4362429161829873,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,894.0,0.0,64.06467069051438,3.722386800000095,True,2501,2501,33767,33767,1688,0.0499896348505937,0.6749300279888045,392,1296,0,0,130788,271,0.1605450236966824,14.39218009478673,24294.0,18,36,1.6212280999534414,3.72199990000081,0.4355798343662203,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.4.k,528.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,528.0,0.0,64.2618966696085,3.480727099999058,True,2500,2500,35028,35028,1980,0.0565262076053443,0.792,158,1822,0,0,165136,47,0.0237373737373737,12.287878787878787,24330.0,8,14,1.6274655000925122,3.4803382999998576,0.4676170417377468,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.4.k,528.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,528.0,0.0,64.22079954864219,3.4757759000021906,True,2500,2500,34651,34651,1971,0.0568814752820986,0.7884,174,1797,0,0,165449,63,0.0319634703196347,11.972602739726028,23598.0,10,29,1.6257586000247102,3.4754413000009663,0.4677847961420779,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.2.l,767.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,731.0,4.69361147327249,238.87907974459077,7.739513600001374,True,2611,2611,56702,56702,3067,0.0540898028288243,1.174645729605515,1289,1778,0,0,267791,395,0.1287903488751222,11.894033257254646,36479.0,15,33,3.526363599896285,7.738975300002494,0.4556628575743289,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.2.l,767.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,758.0,1.1734028683181226,237.86704433069468,7.917091200000868,True,2605,2605,56225,56225,2850,0.0506891951978657,1.09404990403071,1115,1735,0,0,264602,232,0.0814035087719298,13.164561403508772,37519.0,16,46,3.5192781999940053,7.916565899999114,0.4445460625792806,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,795.0,3.048780487804878,276.9608504355797,7.233300500000041,True,2707,2707,54686,54686,3096,0.0566141242731229,1.143701514591799,856,2240,0,0,247782,246,0.0794573643410852,10.19186046511628,31554.0,8,28,3.113334899993788,7.232843599998887,0.4304441063808247,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,814.0,0.7317073170731707,277.23708211185897,7.2607717999999295,True,2665,2665,52642,52642,2650,0.0503400326735306,0.9943714821763602,821,1829,0,0,248386,258,0.0973584905660377,12.01433962264151,31838.0,7,24,3.1170939000912767,7.260320800000045,0.4293328058026385,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,0,2500,726.0,0.547945205479452,278.5165567932532,6.600491699999111,True,2976,2976,48854,48854,1998,0.0408973676669259,0.6713709677419355,689,1309,0,0,253337,253,0.1266266266266266,12.98148148148148,25937.0,14,23,2.812490700001945,6.6000789000027,0.4261298603567897,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p3_c1_l1,C_sensitivity,removal_density,3,1,1,100,1,2500,726.0,0.547945205479452,278.5165567932532,6.711261899999954,True,2982,2982,49464,49464,2013,0.040696263949539,0.6750503018108652,660,1353,0,0,256977,268,0.1331346249379036,13.212121212121213,26596.0,17,41,2.8702464999369117,6.710742700000992,0.4277092161403367,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,1195.0,0.0,84.70820393249937,4.161646900000051,True,2559,2559,35704,35704,2228,0.0624019717678691,0.870652598671356,795,1254,179,0,152634,0,0.0,19.070915619389588,42490.0,6,10,1.7827439001302992,4.161182100000588,0.4284224668105842,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,1185.0,0.8368200836820083,84.47213595499957,4.0693586000015785,True,2572,2572,37462,37462,2635,0.0703379424483476,1.024494556765163,1027,1527,81,0,122372,0,0.0,19.757115749525617,52060.0,7,21,1.6269134999529342,4.068882899999153,0.399842792220261,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,1185.0,0.4201680672268907,92.860416223291,4.269822700000077,True,2577,2577,36050,36050,1985,0.0550624133148405,0.7702755141637563,433,1200,352,0,191143,0,0.0,15.226700251889168,30225.0,12,26,1.8985604000044989,4.269420900000114,0.4446880372006536,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,1185.0,0.4201680672268907,92.860416223291,4.29017489999751,True,2582,2582,36602,36602,2309,0.0630839844817223,0.8942680092951201,416,1586,307,0,189137,0,0.0,15.168904287570376,35025.0,13,26,1.904087600007188,4.289778299997124,0.4438662016655882,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.4.t,1160.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,1160.0,0.0,99.50044597825251,3.842341200001101,True,2563,2563,38750,38750,2451,0.0632516129032258,0.9563012095200936,267,1759,425,0,137247,0,0.0,16.71970624235006,40980.0,7,18,1.543944900004135,3.8419568999997855,0.4018641906170839,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.4.t,1160.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,1160.0,0.0,99.50044597825251,3.86915300000328,True,2570,2570,38585,38585,2618,0.0678502008552546,1.0186770428015564,308,1875,435,0,140664,0,0.0,16.529793735676087,43275.0,5,10,1.5656274001448764,3.86877000000095,0.404683504096778,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,1116.0,0.0,67.88225099390857,4.212131299998873,True,2568,2568,34686,34686,3058,0.0881623709854119,1.190809968847352,969,1958,131,0,114863,0,0.0,16.06147809025507,49116.0,7,28,1.6518927001998236,4.21156869999686,0.3922274140277125,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.2.l,1116.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,1116.0,0.0,67.88225099390857,4.303326100001868,True,2576,2576,35408,35408,3402,0.0960799819249887,1.3206521739130437,1024,2186,192,0,117579,0,0.0,16.04232804232804,54576.0,10,29,1.6909367999760434,4.30278289999842,0.3929867807127021,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,888.0,0.6711409395973155,62.31660659271909,3.6620121999985713,True,2520,2520,34668,34668,1599,0.046123226029768,0.6345238095238095,423,1086,90,0,145516,0,0.0,14.559099437148218,23280.0,13,31,1.520926999990479,3.661644799998612,0.4153671595866031,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.3.k,894.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,888.0,0.6711409395973155,62.31660659271909,3.649198200000683,True,2516,2516,34522,34522,1488,0.0431029488442152,0.5914149443561209,370,1057,61,0,144124,0,0.0,14.600806451612904,21726.0,16,35,1.505562700007431,3.6487944000000425,0.4126192202025451,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.4.k,528.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,528.0,0.0,64.22079954864219,3.255188200000702,True,2500,2500,34560,34560,2031,0.0587673611111111,0.8124,150,1793,88,0,172080,0,0.0,11.819793205317575,24006.0,14,22,1.426869599999918,3.254770399998961,0.4383933195411798,2,06_mechanism_components/mechanism_runs.csv
Chao,small,p6.4.k,528.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,528.0,0.0,64.22079954864219,3.30160419999811,True,2501,2501,34770,34770,1932,0.0555651423641069,0.7724910035985606,162,1716,54,0,174465,0,0.0,11.53726708074534,22290.0,7,8,1.442760399928375,3.301095200000418,0.4370550718828684,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.2.l,767.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,767.0,0.0,237.6125071842121,7.114826799999719,True,2742,2742,56406,56406,3672,0.0650994575045208,1.3391684901531729,1168,1925,579,0,254001,0,0.0,13.605392156862743,49959.0,15,39,2.965317599955597,7.114342400000169,0.4168083897614383,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.2.l,767.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,767.0,0.0,237.6125071842121,7.338807899999665,True,2771,2771,58330,58330,3673,0.0629693125321446,1.3255142547816672,1193,1887,593,0,266541,0,0.0,13.595970596242854,49938.0,14,29,3.09685759993954,7.338250300002983,0.4220158039496528,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,804.0,1.951219512195122,277.82915624684864,6.773448400002962,True,2663,2663,52979,52979,3270,0.0617225693199192,1.2279384153210664,931,1928,411,0,287838,0,0.0,10.25749235474006,33542.0,5,20,2.86982719982916,6.772953800002142,0.4237187030314975,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.3.n,820.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,804.0,1.951219512195122,277.82915624684864,6.848767799998313,True,2680,2680,52985,52985,3137,0.0592054355006133,1.1705223880597015,871,1887,379,0,282244,0,0.0,10.859738603761556,34067.0,6,13,2.8456848000205355,6.8482440000007045,0.4155349604979382,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,0,2500,726.0,0.547945205479452,278.5165567932532,6.648956500001077,True,3131,3131,53165,53165,2227,0.0418884604533057,0.7112743532417758,725,1218,284,0,287135,0,0.0,12.482263134261338,27798.0,9,29,2.685531099905347,6.648496999998315,0.4039305575239077,2,06_mechanism_components/mechanism_runs.csv
Chao,large,p7.4.n,730.0,density_p3_c2_l0,bounded_two_opt_ablation,removal_density,3,2,0,100,1,2500,726.0,0.547945205479452,278.5165567932532,6.692905500000052,True,3156,3156,52777,52777,2280,0.043200636640961,0.7224334600760456,768,1245,267,0,284483,0,0.0,12.916666666666666,29450.0,10,24,2.6812810000265017,6.692498000000342,0.4006397910057447,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c2_l1,reference_and_mechanism_logging,removal_density,3,2,1,100,0,2500,1195.0,0.0,84.70820393249937,4.634701699997095,True,2533,2533,37003,37003,2125,0.05742777612626,0.8389261744966443,839,1106,180,0,158469,174,0.0818823529411764,19.81882352941177,42115.0,10,19,2.1973157999636896,4.634256900000764,0.4741463081089284,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.2.q,1195.0,density_p3_c2_l1,reference_and_mechanism_logging,removal_density,3,2,1,100,1,2500,1185.0,0.8368200836820083,84.47213595499957,4.470944799999415,True,2534,2534,36537,36537,2716,0.0743356050031475,1.0718232044198894,1069,1512,135,0,138944,204,0.0751104565537555,19.1899852724595,52120.0,10,23,2.045205700011138,4.4704913000023225,0.4574901420812687,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c2_l1,reference_and_mechanism_logging,removal_density,3,2,1,100,0,2500,1185.0,0.4201680672268907,92.860416223291,4.588620999998966,True,2550,2550,36220,36220,2412,0.0665930425179458,0.9458823529411764,518,1570,324,0,182808,218,0.0903814262023217,15.58457711442786,37590.0,13,30,2.2153165999516204,4.588240900000528,0.4828248228970204,2,06_mechanism_components/mechanism_runs.csv
Chao,medium,p5.3.s,1190.0,density_p3_c2_l1,reference_and_mechanism_logging,removal_density,3,2,1,100,1,2500,1185.0,0.4201680672268907,93.29005467744568,4.685904800000571,True,2589,2589,36871,36871,2504,0.0679124515201649,0.9671687910390112,615,1586,303,0,183846,277,0.1106230031948881,16.28594249201278,40780.0,12,41,2.2395974000464776,4.68552389999968,0.4779822807107292,2,06_mechanism_components/mechanism_runs.csv
