size,instance,config,iteration,mean_gap_percent,min_gap_percent,max_gap_percent,n_seeds
small,bier127_gen1_m3,k100_l1,1400,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1450,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1500,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1550,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1600,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1650,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1700,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1750,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1800,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1850,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1900,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,1950,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2000,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2050,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2100,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2150,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2200,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2250,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2300,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2350,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2400,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2450,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2500,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2550,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2600,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2650,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2700,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2750,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2800,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2850,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2900,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,2950,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3000,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3050,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3100,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3150,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3200,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3250,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3300,0.4854368932038835,0.0,0.970873786407767,2
small,bier127_gen1_m3,k100_l1,3350,0.4854368932038835,0.0,0.970873786407767,2
