algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,p5.3.q,1070.0,1065.0,1065.0,0.4672897196261682,0.4672897196261682,2.041415250000682,,Chao,fixed
off,p5.3.r,1125.0,1125.0,1118.75,0.0,0.5555555555555556,2.1313189499992404,,Chao,fixed
off,p5.3.s,1190.0,1190.0,1186.25,0.0,0.31512605042016806,2.215368849999777,,Chao,fixed
off,p5.3.t,1260.0,1260.0,1255.0,0.0,0.3968253968253968,2.279730799999925,,Chao,fixed
off,p5.3.u,1345.0,1345.0,1337.5,0.0,0.5576208178438662,2.2527436000000307,,Chao,fixed
off,p5.3.v,1425.0,1425.0,1420.0,0.0,0.3508771929824561,2.211400049999611,,Chao,fixed
off,p5.3.w,1485.0,1480.0,1472.5,0.3367003367003367,0.8417508417508418,2.1988490749995435,,Chao,fixed
off,p5.3.x,1555.0,1535.0,1528.75,1.2861736334405145,1.6881028938906752,2.0906300000001465,,Chao,fixed
off,p5.3.y,1595.0,1590.0,1583.75,0.31347962382445144,0.7053291536050157,2.069892150001124,,Chao,fixed
off,p5.3.z,1635.0,1635.0,1627.5,0.0,0.45871559633027525,1.9185691000002407,,Chao,fixed
off,p5.4.m,555.0,555.0,551.25,0.0,0.6756756756756757,1.6791035499995814,,Chao,fixed
off,p5.4.o,690.0,685.0,677.5,0.7246376811594203,1.8115942028985508,1.7470613999998932,,Chao,fixed
off,p5.4.p,765.0,760.0,760.0,0.6535947712418301,0.6535947712418301,1.9433618500002012,,Chao,fixed
off,p5.4.q,860.0,860.0,860.0,0.0,0.0,2.0430790250002246,,Chao,fixed
off,p5.4.r,960.0,960.0,915.0,0.0,4.6875,2.0797243749998415,,Chao,fixed
off,p5.4.s,1030.0,1015.0,1003.75,1.4563106796116505,2.5485436893203883,2.1849748500003443,,Chao,fixed
off,p5.4.t,1160.0,1125.0,1106.25,3.0172413793103448,4.633620689655173,2.2199823000000833,,Chao,fixed
off,p5.4.u,1300.0,1300.0,1300.0,0.0,0.0,2.1054880750002667,,Chao,fixed
off,p5.4.v,1320.0,1320.0,1315.0,0.0,0.3787878787878788,2.1577613750000637,,Chao,fixed
off,p5.4.w,1390.0,1380.0,1380.0,0.7194244604316546,0.7194244604316546,2.155284200000551,,Chao,fixed
off,p5.4.x,1450.0,1430.0,1425.0,1.3793103448275863,1.7241379310344827,2.1725794500007396,,Chao,fixed
off,p5.4.y,1520.0,1520.0,1512.5,0.0,0.4934210526315789,2.025592174999474,,Chao,fixed
off,p5.4.z,1620.0,1620.0,1620.0,0.0,0.0,1.863897624999936,,Chao,fixed
off,p6.2.d,192.0,192.0,192.0,0.0,0.0,0.9969978250005624,,Chao,fixed
off,p6.2.j,948.0,942.0,940.5,0.6329113924050633,0.7911392405063291,2.3052917000009074,,Chao,fixed
off,p6.2.l,1116.0,1116.0,1116.0,0.0,0.0,2.3926815499999066,,Chao,fixed
off,p6.2.m,1188.0,1188.0,1188.0,0.0,0.0,2.338874175000001,,Chao,fixed
off,p6.2.n,1260.0,1260.0,1260.0,0.0,0.0,2.2918615999992653,,Chao,fixed
off,p6.3.g,282.0,282.0,282.0,0.0,0.0,1.1949953250000362,,Chao,fixed
off,p6.3.h,444.0,444.0,444.0,0.0,0.0,1.6533139250000204,,Chao,fixed
off,p6.3.i,642.0,642.0,642.0,0.0,0.0,1.8371732500008875,,Chao,fixed
off,p6.3.k,894.0,894.0,891.0,0.0,0.33557046979865773,1.9451861249999638,,Chao,fixed
off,p6.3.l,1002.0,1002.0,991.5,0.0,1.0479041916167664,2.128369499999735,,Chao,fixed
off,p6.3.m,1080.0,1080.0,1080.0,0.0,0.0,2.1091013500008557,,Chao,fixed
off,p6.3.n,1170.0,1170.0,1162.5,0.0,0.6410256410256411,2.0325401000000056,,Chao,fixed
off,p6.4.j,366.0,366.0,366.0,0.0,0.0,1.3519672500001434,,Chao,fixed
off,p6.4.k,528.0,528.0,526.5,0.0,0.2840909090909091,1.6783778000003622,,Chao,fixed
off,p6.4.l,696.0,696.0,696.0,0.0,0.0,2.0284698500004197,,Chao,fixed
off,p7.2.d,190.0,190.0,190.0,0.0,0.0,1.0718520999998873,,Chao,fixed
off,p7.2.e,290.0,290.0,290.0,0.0,0.0,1.4188996499997302,,Chao,fixed
off,p7.2.f,387.0,387.0,387.0,0.0,0.0,1.9159337750006673,,Chao,fixed
off,p7.2.g,459.0,459.0,456.0,0.0,0.6535947712418301,2.9178521749990978,,Chao,fixed
off,p7.2.h,521.0,521.0,521.0,0.0,0.0,3.3127675000000636,,Chao,fixed
off,p7.2.i,580.0,578.0,578.0,0.3448275862068966,0.3448275862068966,3.6884455750000598,,Chao,fixed
off,p7.2.j,646.0,643.0,636.25,0.46439628482972134,1.5092879256965945,3.6204524999998284,,Chao,fixed
off,p7.2.k,705.0,702.0,683.5,0.425531914893617,3.049645390070922,4.006881599999815,,Chao,fixed
off,p7.2.l,767.0,719.0,711.0,6.258148631029987,7.301173402868318,4.543838450000294,,Chao,fixed
off,p7.2.m,827.0,818.0,786.0,1.0882708585247884,4.957678355501813,4.568667924999772,,Chao,fixed
off,p7.2.n,888.0,864.0,834.25,2.7027027027027026,6.052927927927928,4.9971746249993885,,Chao,fixed
off,p7.2.o,945.0,920.0,880.25,2.6455026455026456,6.851851851851852,6.360422674999427,,Chao,fixed
off,p7.2.p,1002.0,1000.0,968.0,0.1996007984031936,3.3932135728542914,5.713098825000088,,Chao,fixed
off,p7.2.q,1044.0,1043.0,1013.5,0.09578544061302682,2.921455938697318,5.64687025000012,,Chao,fixed
off,p7.2.r,1094.0,1085.0,1056.75,0.8226691042047533,3.4049360146252283,6.057527049999408,,Chao,fixed
off,p7.2.s,1136.0,1084.0,1073.75,4.577464788732394,5.479753521126761,6.544942274999812,,Chao,fixed
off,p7.2.t,1179.0,1166.0,1140.25,1.1026293469041561,3.2866836301950806,6.24942880000026,,Chao,fixed
off,p7.3.h,425.0,425.0,423.0,0.0,0.47058823529411764,2.0276415250000355,,Chao,fixed
off,p7.3.i,487.0,485.0,484.0,0.4106776180698152,0.6160164271047228,2.4587036249999983,,Chao,fixed
off,p7.3.j,564.0,560.0,560.0,0.7092198581560284,0.7092198581560284,2.8377373749999606,,Chao,fixed
off,p7.3.k,633.0,632.0,620.25,0.1579778830963665,2.014218009478673,3.3021275500004776,,Chao,fixed
off,p7.3.l,684.0,683.0,682.0,0.14619883040935672,0.29239766081871343,3.5002704749995246,,Chao,fixed
off,p7.3.m,762.0,762.0,760.0,0.0,0.26246719160104987,3.5179145999995853,,Chao,fixed
off,p7.3.n,820.0,798.0,794.5,2.682926829268293,3.1097560975609757,3.850837075000527,,Chao,fixed
off,p7.3.o,874.0,874.0,862.25,0.0,1.3443935926773456,4.035663349999595,,Chao,fixed
off,p7.3.p,929.0,903.0,898.75,2.798708288482239,3.256189451022605,4.4284092750003765,,Chao,fixed
off,p7.3.q,987.0,987.0,949.75,0.0,3.774062816616008,4.539152175000254,,Chao,fixed
off,p7.3.r,1026.0,1013.0,975.0,1.267056530214425,4.970760233918129,4.803444524999577,,Chao,fixed
off,p7.3.s,1081.0,1063.0,1060.0,1.6651248843663276,1.942645698427382,4.896906599999511,,Chao,fixed
off,p7.3.t,1120.0,1110.0,1068.25,0.8928571428571429,4.620535714285714,5.260878049999974,,Chao,fixed
off,p7.4.g,217.0,217.0,217.0,0.0,0.0,1.3829038249996302,,Chao,fixed
off,p7.4.h,285.0,285.0,285.0,0.0,0.0,1.6484731749992534,,Chao,fixed
off,p7.4.i,366.0,366.0,362.5,0.0,0.9562841530054644,1.8452566250002747,,Chao,fixed
off,p7.4.k,520.0,518.0,517.5,0.38461538461538464,0.4807692307692308,2.621589374999985,,Chao,fixed
off,p7.4.l,590.0,578.0,576.0,2.0338983050847457,2.3728813559322033,2.8563575500006664,,Chao,fixed
off,p7.4.m,646.0,646.0,641.0,0.0,0.7739938080495357,3.2541821750000963,,Chao,fixed
off,p7.4.n,730.0,726.0,718.75,0.547945205479452,1.5410958904109588,3.488662900000236,,Chao,fixed
off,p7.4.o,781.0,779.0,768.0,0.2560819462227913,1.6645326504481435,3.63631469999973,,Chao,fixed
off,p7.4.p,846.0,838.0,828.75,0.9456264775413712,2.0390070921985815,3.6942816999999195,,Chao,fixed
off,p7.4.q,909.0,903.0,900.0,0.6600660066006601,0.9900990099009901,3.9182327499997887,,Chao,fixed
off,p7.4.r,970.0,967.0,964.75,0.30927835051546393,0.5412371134020618,4.272576475000278,,Chao,fixed
off,p7.4.s,1022.0,1022.0,1019.0,0.0,0.29354207436399216,4.235126074999698,,Chao,fixed
off,p7.4.t,1077.0,1077.0,1063.5,0.0,1.2534818941504178,4.365680650000286,,Chao,fixed
on,p4.2.a,206.0,206.0,206.0,0.0,0.0,2.09690492499999,,Chao,fixed
on,p4.2.b,341.0,341.0,341.0,0.0,0.0,3.48707622500001,,Chao,fixed
on,p4.2.c,452.0,452.0,452.0,0.0,0.0,4.77421177500014,,Chao,fixed
on,p4.2.d,531.0,529.0,527.5,0.3766478342749529,0.6591337099811676,6.292604850000089,,Chao,fixed
on,p4.2.e,618.0,602.0,598.5,2.588996763754045,3.1553398058252426,7.438603824999973,,Chao,fixed
on,p4.2.f,687.0,678.0,675.75,1.3100436681222707,1.6375545851528384,8.789560700000038,,Chao,fixed
on,p4.2.g,757.0,747.0,745.5,1.321003963011889,1.5191545574636725,10.080847449999965,,Chao,fixed
on,p4.2.h,835.0,814.0,803.75,2.5149700598802394,3.7425149700598803,12.110244799999919,,Chao,fixed
on,p4.2.i,918.0,895.0,875.5,2.505446623093682,4.62962962962963,12.539814824999894,,Chao,fixed
on,p4.2.j,965.0,952.0,940.75,1.3471502590673574,2.5129533678756477,11.574825825000062,,Chao,fixed
on,p4.2.k,1022.0,994.0,980.0,2.73972602739726,4.109589041095891,12.205864174999988,,Chao,fixed
on,p4.2.l,1074.0,1065.0,1054.25,0.8379888268156425,1.8389199255121043,12.181557350000048,,Chao,fixed
on,p4.2.m,1132.0,1103.0,1101.0,2.5618374558303887,2.7385159010600706,12.442858424999713,,Chao,fixed
on,p4.2.n,1174.0,1170.0,1165.25,0.34071550255536626,0.7453151618398637,11.478437850000546,,Chao,fixed
on,p4.2.o,1218.0,1207.0,1198.5,0.90311986863711,1.6009852216748768,12.127632750000203,,Chao,fixed
on,p4.2.p,1242.0,1237.0,1231.0,0.4025764895330113,0.8856682769726248,10.97855225000012,,Chao,fixed
on,p4.2.q,1268.0,1261.0,1256.5,0.5520504731861199,0.9069400630914827,9.957844875000092,,Chao,fixed
on,p4.2.r,1292.0,1284.0,1280.5,0.6191950464396285,0.8900928792569659,9.02643665000005,,Chao,fixed
on,p4.2.s,1304.0,1298.0,1296.25,0.4601226993865031,0.5943251533742331,7.750026475000368,,Chao,fixed
on,p4.2.t,1306.0,1306.0,1302.5,0.0,0.2679938744257274,7.1081534000009015,,Chao,fixed
on,p4.3.c,193.0,193.0,193.0,0.0,0.0,2.0727383750004265,,Chao,fixed
on,p4.3.d,335.0,335.0,334.25,0.0,0.22388059701492538,3.224414650000199,,Chao,fixed
on,p4.3.e,468.0,468.0,461.25,0.0,1.4423076923076923,4.653492950000327,,Chao,fixed
on,p4.3.f,579.0,579.0,565.25,0.0,2.3747841105354057,5.310437875000844,,Chao,fixed
on,p4.3.g,653.0,653.0,648.25,0.0,0.7274119448698315,6.209602974999143,,Chao,fixed
on,p4.3.h,729.0,725.0,721.0,0.5486968449931413,1.0973936899862826,7.29379172499921,,Chao,fixed
on,p4.3.i,809.0,809.0,809.0,0.0,0.0,8.776482175000183,,Chao,fixed
