algorithm,instance,bks,best_reward,mean_reward,best_gap,mean_gap,mean_runtime,mean_iterations,dataset,protocol
off,pr299_gen1_m3,111.0,110.0,109.0,0.9009009009009009,1.8018018018018018,29.572734275001494,3558.25,Dang,time
off,pr299_gen1_m4,84.0,83.0,83.0,1.1904761904761905,1.1904761904761905,20.40197742500095,3304.5,Dang,time
off,pr299_gen2_m3,6018.0,5895.0,5839.0,2.0438683948155534,2.9744101030242605,36.2341550500023,3673.5,Dang,time
off,pr299_gen2_m4,4457.0,4289.0,4235.75,3.7693515817814673,4.964101413506843,22.412806575002833,3640.75,Dang,time
off,pr299_gen3_m2,5729.0,4997.0,4972.75,12.77709897015186,13.200384011171234,76.82843295000202,3422.75,Dang,time
off,pr299_gen3_m3,3655.0,3398.0,3349.0,7.0314637482900135,8.372093023255815,40.58825332499873,3121.5,Dang,time
off,pr299_gen3_m4,2268.0,2264.0,2209.25,0.1763668430335097,2.5903880070546736,23.619030249999923,2854.75,Dang,time
off,rat195_gen2_m2,5148.0,4860.0,4773.5,5.594405594405594,7.274669774669775,25.116254549999212,3610.0,Dang,time
off,rat195_gen3_m3,2574.0,2545.0,2537.0,1.1266511266511265,1.4374514374514376,21.585189125000397,3633.25,Dang,time
off,rd400_gen1_m2,232.0,217.0,215.75,6.4655172413793105,7.004310344827586,133.53475307499866,4066.5,Dang,time
off,rd400_gen1_m3,224.0,216.0,211.75,3.5714285714285716,5.46875,113.61975027500011,3935.25,Dang,time
off,rd400_gen1_m4,213.0,206.0,202.5,3.2863849765258215,4.929577464788732,94.52619839999898,3590.5,Dang,time
off,rd400_gen2_m2,13045.0,12323.0,12186.75,5.534687619777692,6.579149099271752,158.08425739999802,3332.25,Dang,time
off,rd400_gen2_m3,12646.0,11420.0,11200.0,9.694765143128262,11.434445674521587,128.45554297500348,3498.0,Dang,time
off,rd400_gen2_m4,12032.0,10474.0,10417.25,12.948803191489361,13.42046210106383,92.69128184999863,3295.5,Dang,time
off,rd400_gen3_m2,12431.0,11120.0,10815.25,10.546215107392808,12.997747566567453,150.18435914999827,3258.75,Dang,time
off,rd400_gen3_m3,11639.0,10507.0,10359.0,9.725921470916745,10.997508377008334,119.66351254999972,3665.25,Dang,time
off,rd400_gen3_m4,10436.0,9275.0,9174.75,11.124952088922958,12.085569183595247,96.72186735000105,3395.0,Dang,time
off,ts225_gen2_m2,5859.0,5843.0,5450.75,0.27308414405188597,6.967912613073904,35.905070000002524,4301.0,Dang,time
on,bier127_gen1_m2,106.0,105.0,103.5,0.9433962264150944,2.358490566037736,16.86161120000179,2462.75,Dang,time
on,bier127_gen1_m3,103.0,102.0,101.75,0.970873786407767,1.2135922330097086,13.828727149999395,2488.5,Dang,time
on,bier127_gen2_m2,5464.0,5418.0,5405.5,0.8418740849194729,1.0706442166910688,25.077489199999036,2688.5,Dang,time
on,bier127_gen2_m3,5393.0,5329.0,5196.75,1.1867235305025032,3.6389764509549414,16.38630707500306,2533.25,Dang,time
on,bier127_gen2_m4,5123.0,5061.0,5044.5,1.2102283818075346,1.5323052898692173,15.973493625000629,2581.0,Dang,time
on,bier127_gen3_m2,2885.0,2885.0,2850.25,0.0,1.2045060658578857,28.691370675000144,2480.0,Dang,time
on,bier127_gen3_m3,2706.0,2679.0,2669.25,0.9977827050997783,1.3580931263858094,23.95651257499958,2667.5,Dang,time
on,bier127_gen3_m4,2402.0,2402.0,2342.5,0.0,2.4771024146544547,18.4314761750029,2486.75,Dang,time
on,cmt101c_m3,1300.0,1290.0,1280.0,0.7692307692307693,1.5384615384615385,9.006266475000302,2469.75,Dang,time
on,cmt151b_m3,1385.0,1385.0,1380.75,0.0,0.30685920577617326,15.462461474997326,2583.0,Dang,time
on,cmt151c_m2,1964.0,1935.0,1927.0,1.4765784114052953,1.8839103869653768,22.884770774999197,2396.75,Dang,time
on,cmt151c_m3,1916.0,1906.0,1900.5,0.5219206680584552,0.8089770354906054,19.213077700000213,2498.75,Dang,time
